from,to,walking,public_transport
895302724,2457088247,910,910
895302724,3563688393,1117,1117
895302724,948326965,629,629
895302724,8334692909,1427,1427
895302724,2669480090,1050,1050
895302724,12390124794,1546,1546
895302724,12952062259,1073,1073
895302724,2750669760,1170,1170
895302724,2454512962,553,553
895302724,12843952346,724,724
895302724,5578380846,1024,989
895302724,10013110915,901,901
895302724,4030881336,1024,1024
895302724,1590153702,1004,1004
895302724,136322935,1335,1335
895302724,5981514091,644,644
895302724,442551000,696,696
895302724,12479126905,640,640
895302724,133618467,1089,1089
895302724,1488907662,1137,1137
895302724,1991433140,873,873
895302724,5582570021,920,920
895302724,4239841589,1313,1313
895302724,4019827636,1266,1266
895302724,1167293625,1256,1256
895302724,5881659505,1171,1171
895302724,295413460,942,1076
895302724,1107533195,1624,1624
895302724,138314025,1591,1591
895302724,10583638334,1424,1424
895302724,476441840,1015,1015
895302724,1467334210,1056,1056
895302724,30528334,1217,1217
895302724,2247657921,1227,1227
895302724,415627424,1713,1713
895302724,2510053075,1611,1611
895302724,2450295917,1333,1333
895302724,12864827040,1518,1518
895302724,9645157393,1255,1255
895302724,354615386,1157,1157
895302724,1363142268,1402,1525
895302724,8209501770,1270,1270
5664809637,1308621529,741,741
5664809637,4551892507,1086,1086
5664809637,359238262,802,802
5664809637,5904861029,1001,1001
5664809637,2048616571,873,873
5664809637,98105901,1132,1132
5664809637,410455891,706,703
5664809637,561323738,913,913
5664809637,4063613611,711,711
5664809637,2137688161,338,338
5664809637,618284053,402,402
5664809637,1363354897,326,326
5664809637,2478696679,212,212
5664809637,895302724,136,136
5664809637,4192093000,323,323
5664809637,1454374331,374,374
